Student_ID,College,Year_Level,Prior_GPA,Final_Grade,Reading_Dependency_Score,Writing_Dependency_Score,Numeracy_Dependency_Score,Motivation_Score,Environment_Score,AI_Dependency_Index,AI_Sessions_Week,Avg_Session_Duration_Min,AI_Tools_Count,Primary_AI_Tool,Usage_Purpose_Buckets,Study_Hours_Per_Week,Assignment_Submission_Punctuality,LMS_Activity_Level,Grade_Improvement_Delta,High_Risk_Flag
S0055,College of Engineering,2,3.11,2.86,4.65,4.71,3.22,4.72,2.84,4.22,7,12,5,Grammarly,Computation,10.1,0.94,21,-0.25,0
S0056,College of Business,2,2.99,3.57,5.27,5.14,5.97,5.13,4.23,5.46,8,27,4,QuillBot,Computation,14.0,0.79,11,0.58,1
S0057,College of Education,2,2.5,3.05,5.23,3.7,3.74,5.45,6.05,4.57,6,13,3,ChatGPT,Research,17.6,0.93,12,0.55,1
S0058,College of Computer Studies,3,2.85,3.16,4.21,3.93,2.88,4.35,3.35,3.72,6,14,1,Grammarly,Brainstorming,6.3,0.5,28,0.31,0
S0059,College of Arts,1,3.25,3.18,3.22,4.92,6.26,4.69,6.15,4.48,9,14,5,Gemini,Paraphrasing,11.9,0.69,21,-0.07,0
S0060,College of Arts,2,2.72,2.71,4.17,4.93,5.12,4.15,2.94,5.15,9,10,2,Grammarly,Research,13.3,0.86,20,-0.01,0
S0061,College of Arts,4,3.07,2.89,4.18,5.1,7.0,4.7,3.98,5.45,4,22,5,ChatGPT,Research,13.1,0.72,17,-0.18,1
S0062,College of Engineering,2,3.61,3.79,6.21,4.48,6.14,5.15,4.33,5.46,7,18,1,ChatGPT,Problem-solving,1.0,0.87,16,0.18,0
S0063,College of Education,1,3.3,3.63,3.69,1.0,3.49,5.39,3.07,2.73,3,21,2,ChatGPT,Computation,13.3,0.93,11,0.33,0
S0064,College of Engineering,2,2.93,3.3,6.9,2.74,2.1,6.47,4.47,3.87,4,32,5,QuillBot,Grammar,10.6,0.76,19,0.37,0
S0065,College of Computer Studies,3,3.03,3.45,4.62,7.0,3.9,5.09,4.96,5.15,2,8,2,Bard,Grammar,7.1,0.93,13,0.42,1
S0066,College of Computer Studies,3,3.4,3.91,3.44,2.67,6.15,4.68,4.42,4.25,7,27,4,ChatGPT,Problem-solving,17.1,0.93,26,0.51,0
S0067,College of Engineering,3,2.21,2.55,7.0,3.15,3.91,4.72,5.04,4.89,12,25,5,ChatGPT,Computation,11.1,0.81,14,0.34,1
S0068,College of Education,3,3.92,4.0,6.01,1.95,4.3,6.81,5.39,4.14,3,31,2,Grammarly,Brainstorming,14.3,0.75,14,0.08,0
S0069,College of Education,3,3.58,3.86,3.78,3.13,4.56,6.45,3.11,3.57,9,38,5,Grammarly,Computation,8.0,0.92,18,0.28,0
S0070,College of Engineering,4,3.74,4.0,7.0,7.0,5.44,4.38,5.61,6.53,2,35,4,Gemini,Problem-solving,13.8,1.0,16,0.26,0
S0071,College of Business,4,2.95,3.29,6.62,5.75,2.87,6.85,6.04,5.31,6,7,3,Grammarly,Paraphrasing,6.3,0.62,26,0.34,0
S0072,College of Computer Studies,3,2.85,2.82,5.06,4.51,6.01,3.89,4.64,5.19,6,18,4,Gemini,Research,14.1,0.95,25,-0.03,1
S0073,College of Engineering,3,2.68,2.56,6.59,4.39,4.17,4.25,2.03,5.27,5,6,1,Gemini,Paraphrasing,8.9,0.96,19,-0.12,0
S0074,College of Business,2,3.08,3.87,6.11,3.28,4.28,5.43,5.46,4.61,4,18,2,ChatGPT,Grammar,9.2,0.84,18,0.79,0
S0075,College of Business,4,2.98,3.57,3.62,5.7,3.28,4.49,5.98,4.09,9,21,3,QuillBot,Brainstorming,8.1,0.67,20,0.59,0
S0076,College of Engineering,2,2.27,2.47,4.78,5.34,5.98,6.19,5.29,5.49,9,20,2,ChatGPT,Brainstorming,8.8,0.9,19,0.2,1
S0077,College of Business,3,3.1,3.57,5.23,4.81,4.54,4.95,5.96,5.16,4,33,5,Grammarly,Research,21.4,0.8,14,0.47,1
S0078,College of Business,1,2.6,3.01,6.1,6.78,4.05,2.88,4.03,5.98,5,21,1,Bard,Research,9.4,0.57,16,0.41,1
S0079,College of Business,1,2.99,3.34,3.23,5.29,2.67,6.19,4.19,3.82,7,11,4,Grammarly,Problem-solving,8.3,0.81,22,0.35,0
S0080,College of Arts,2,3.27,3.75,7.0,4.6,2.93,6.11,4.57,4.5,3,30,4,Gemini,Grammar,12.3,0.87,21,0.48,0
S0081,College of Engineering,4,3.43,3.98,3.75,6.01,4.68,6.84,4.45,4.75,2,5,2,Gemini,Paraphrasing,14.1,0.94,23,0.55,0
S0082,College of Computer Studies,4,3.29,3.78,3.59,4.92,3.59,4.27,4.74,4.13,7,33,2,QuillBot,Research,3.8,0.65,17,0.49,1
S0083,College of Business,3,3.7,3.74,3.08,5.97,2.94,5.03,4.42,3.57,7,17,5,Bard,Grammar,2.2,0.99,15,0.04,0
S0084,College of Engineering,3,3.43,3.46,3.69,5.52,7.0,5.38,4.5,5.17,8,20,2,Grammarly,Brainstorming,8.2,0.5,19,0.03,0
S0085,College of Arts,2,3.06,3.28,6.76,6.15,3.85,4.11,2.33,5.53,4,27,2,Grammarly,Problem-solving,10.3,0.73,25,0.22,1
S0086,College of Education,2,3.02,3.73,3.46,2.25,3.36,7.0,4.17,2.61,9,29,5,QuillBot,Problem-solving,13.1,0.85,19,0.71,1
S0087,College of Computer Studies,4,3.31,3.3,3.12,7.0,3.87,3.79,3.64,4.62,4,5,3,Bard,Research,7.8,0.64,20,-0.01,0
S0088,College of Business,2,3.22,2.85,4.51,4.15,4.06,4.91,4.29,4.2,9,37,4,Grammarly,Problem-solving,10.6,0.76,19,-0.37,0
S0089,College of Computer Studies,1,3.2,3.8,1.98,3.99,3.18,4.38,4.52,2.95,6,19,3,ChatGPT,Brainstorming,20.3,0.69,14,0.6,0
S0090,College of Computer Studies,1,2.39,3.54,4.84,5.2,6.5,4.64,5.01,5.33,9,30,2,Gemini,Paraphrasing,13.6,0.99,17,1.15,1
S0091,College of Engineering,2,3.6,3.86,6.13,4.49,4.02,6.0,7.0,4.96,6,12,4,Bard,Brainstorming,5.5,0.59,20,0.26,0
S0092,College of Computer Studies,3,2.74,2.76,5.1,6.0,5.18,6.19,5.48,5.51,3,32,5,QuillBot,Paraphrasing,8.3,0.77,18,0.02,0
S0093,College of Arts,2,2.67,2.59,5.42,6.21,2.11,4.24,3.85,4.52,10,13,3,ChatGPT,Brainstorming,12.3,0.64,20,-0.08,1
S0094,College of Computer Studies,4,3.34,3.41,5.28,5.15,5.98,3.84,4.77,5.3,4,30,3,Gemini,Research,7.7,0.92,21,0.07,1
S0095,College of Education,1,2.65,2.86,3.58,4.34,2.45,4.18,4.18,3.68,9,36,1,Grammarly,Research,14.7,0.7,27,0.21,0
S0096,College of Arts,4,3.25,3.57,6.19,4.59,3.61,5.0,5.36,4.57,3,1,1,ChatGPT,Brainstorming,9.2,0.92,18,0.32,0
S0097,College of Computer Studies,3,2.57,2.62,2.32,6.03,4.69,4.1,3.74,4.55,7,22,1,Gemini,Brainstorming,7.0,0.9,16,0.05,0
S0098,College of Computer Studies,4,1.98,1.95,4.23,7.0,5.22,4.98,4.41,5.5,7,27,1,Bard,Computation,13.7,0.7,16,-0.03,1
S0099,College of Business,2,3.02,3.3,4.74,5.17,3.91,6.49,2.94,4.48,3,20,3,QuillBot,Problem-solving,17.6,0.77,16,0.28,0
S0100,College of Business,1,3.51,3.82,5.28,3.13,4.52,5.5,5.95,4.62,7,11,3,Grammarly,Brainstorming,7.7,0.9,18,0.31,0
S0101,College of Computer Studies,2,2.86,3.7,4.25,6.86,1.32,6.53,3.13,4.23,7,6,5,ChatGPT,Problem-solving,12.8,0.98,21,0.84,0
S0102,College of Education,1,3.29,3.7,2.69,3.37,4.81,6.48,5.09,3.5,3,21,3,Grammarly,Research,6.0,0.78,17,0.41,1
S0103,College of Engineering,3,2.9,3.07,4.0,3.83,5.17,4.82,3.99,4.56,9,9,5,ChatGPT,Paraphrasing,13.9,0.92,7,0.17,1
S0104,College of Arts,4,3.04,3.54,5.32,7.0,2.17,6.62,4.81,4.78,9,8,4,ChatGPT,Brainstorming,14.5,0.76,16,0.5,1
S0105,College of Business,3,3.48,3.92,2.01,5.28,3.54,4.92,5.08,3.52,0,28,4,Grammarly,Computation,1.0,0.9,30,0.44,0
S0106,College of Business,3,2.9,3.46,6.09,3.21,2.64,5.86,5.34,3.95,10,10,1,ChatGPT,Problem-solving,12.7,0.98,21,0.56,1
S0107,College of Arts,4,4.0,4.0,5.35,4.53,4.89,5.89,4.35,5.28,8,32,2,QuillBot,Problem-solving,14.8,0.83,13,0.0,1
S0108,College of Arts,2,2.98,3.22,5.14,5.96,2.9,5.19,6.15,5.12,7,22,1,QuillBot,Brainstorming,6.5,0.51,20,0.24,0
S0109,College of Arts,4,2.74,3.48,3.1,3.15,5.82,3.48,6.04,3.76,5,17,5,Grammarly,Grammar,10.3,0.85,20,0.74,0
S0110,College of Arts,2,2.88,3.04,3.76,4.04,2.03,3.67,4.79,3.64,5,15,4,ChatGPT,Brainstorming,4.0,0.76,10,0.16,0
S0111,College of Engineering,4,3.07,3.24,4.78,3.58,6.15,6.25,6.01,4.97,7,19,4,ChatGPT,Grammar,12.1,0.81,15,0.17,0
S0112,College of Business,4,2.85,3.37,5.09,3.5,4.02,5.32,4.91,3.89,3,17,3,Grammarly,Grammar,17.3,0.92,14,0.52,1
S0113,College of Computer Studies,4,2.88,3.23,6.76,6.3,4.73,5.45,3.16,6.03,7,4,5,ChatGPT,Problem-solving,12.1,0.88,17,0.35,0
S0114,College of Education,4,2.35,3.0,1.65,5.61,4.44,4.52,2.75,3.73,7,22,2,Grammarly,Computation,13.2,0.59,15,0.65,0
S0115,College of Business,2,2.34,3.49,1.5,5.6,5.56,4.53,3.97,4.35,8,23,5,ChatGPT,Research,22.9,0.86,23,1.15,0
S0116,College of Computer Studies,3,3.19,2.92,3.2,5.63,3.01,4.58,4.38,4.19,3,31,4,Gemini,Computation,8.2,0.66,14,-0.27,0
S0117,College of Education,3,2.77,2.96,5.93,7.0,2.14,3.12,6.76,5.25,7,12,2,QuillBot,Computation,12.0,0.79,17,0.19,0
S0118,College of Engineering,2,2.88,3.07,4.43,7.0,2.75,6.46,5.8,4.88,10,39,1,ChatGPT,Problem-solving,10.3,0.75,24,0.19,1
S0119,College of Computer Studies,1,3.02,2.96,4.77,3.96,3.95,4.34,4.38,4.51,6,15,4,QuillBot,Research,2.2,0.69,14,-0.06,0
S0120,College of Engineering,2,3.24,3.91,5.44,3.7,4.31,5.46,6.3,4.63,7,29,1,Bard,Computation,12.2,0.76,24,0.67,0
S0121,College of Business,4,3.16,3.56,7.0,4.47,3.1,4.35,3.5,4.79,5,12,5,Grammarly,Paraphrasing,17.1,0.69,20,0.4,1
S0122,College of Engineering,1,2.53,2.27,3.25,5.7,2.97,5.46,3.2,4.19,6,9,2,Gemini,Grammar,9.2,0.74,20,-0.26,1
S0123,College of Engineering,2,2.88,3.31,3.84,5.77,3.28,5.13,5.98,4.19,6,21,2,QuillBot,Computation,10.5,0.61,14,0.43,1
S0124,College of Computer Studies,4,3.15,3.07,6.03,7.0,5.53,5.25,5.85,6.25,9,22,1,ChatGPT,Brainstorming,13.5,0.86,20,-0.08,1
S0125,College of Education,3,3.0,2.9,5.92,6.81,3.23,4.51,6.05,5.76,6,27,2,Gemini,Problem-solving,16.3,0.79,18,-0.1,0
S0126,College of Arts,2,2.34,2.49,5.25,5.03,5.19,3.26,5.92,4.99,9,20,5,ChatGPT,Paraphrasing,12.2,0.87,26,0.15,0
S0127,College of Education,3,2.93,3.16,3.58,3.74,1.95,4.77,2.83,3.05,4,14,1,Bard,Brainstorming,5.8,0.73,13,0.23,0
S0128,College of Arts,3,3.23,3.67,2.0,4.26,4.59,5.18,7.0,3.64,4,11,3,ChatGPT,Research,6.3,0.5,23,0.44,1
S0129,College of Computer Studies,3,3.05,2.93,2.84,4.05,6.41,4.93,1.04,4.04,7,24,4,QuillBot,Grammar,6.0,0.5,19,-0.12,0
S0130,College of Arts,1,2.48,2.58,4.91,3.44,3.27,5.44,4.23,3.98,6,20,1,Grammarly,Research,15.7,0.74,15,0.1,1
S0131,College of Education,3,3.49,3.64,3.61,5.49,1.49,4.42,4.67,3.45,3,24,1,Grammarly,Research,10.3,0.96,18,0.15,0
S0132,College of Education,2,2.85,2.82,5.04,5.01,1.43,5.77,4.94,4.05,1,61,5,ChatGPT,Research,2.7,0.98,21,-0.03,0
S0133,College of Education,1,3.3,3.28,3.92,3.1,3.61,6.26,4.11,3.61,6,37,4,Grammarly,Research,11.6,0.92,15,-0.02,0
S0134,College of Education,2,3.13,3.05,5.25,3.36,2.92,5.99,5.84,3.67,5,9,2,ChatGPT,Grammar,9.1,0.63,30,-0.08,0
S0135,College of Engineering,3,3.0,2.68,7.0,4.24,5.27,5.82,5.65,5.55,3,28,4,Gemini,Brainstorming,6.5,0.92,25,-0.32,1
S0136,College of Computer Studies,1,2.8,3.63,3.81,3.55,1.75,5.23,6.58,3.09,4,3,4,Grammarly,Computation,14.6,0.68,23,0.83,0
S0137,College of Computer Studies,2,3.12,3.59,2.18,3.36,4.04,5.09,3.46,3.63,3,37,1,QuillBot,Problem-solving,13.4,0.84,13,0.47,0
S0138,College of Education,1,2.24,2.6,3.3,4.18,6.65,5.56,3.23,4.71,8,6,4,Grammarly,Brainstorming,10.7,0.8,16,0.36,1
S0139,College of Computer Studies,4,2.93,3.21,4.97,7.0,4.17,4.49,3.44,5.38,6,28,2,QuillBot,Computation,11.6,0.71,17,0.28,1
S0140,College of Business,3,2.45,2.74,3.51,4.37,3.18,6.73,3.76,3.6,4,24,4,Bard,Grammar,6.2,0.96,20,0.29,1
S0141,College of Computer Studies,1,2.78,2.87,7.0,5.33,6.31,4.5,4.37,6.26,10,3,4,QuillBot,Computation,14.0,0.73,20,0.09,1
S0142,College of Business,3,2.72,2.73,5.7,7.0,5.59,4.27,5.1,5.86,4,27,4,ChatGPT,Research,17.0,0.79,19,0.01,0
S0143,College of Business,1,2.8,2.93,3.67,4.64,4.31,4.48,4.31,4.19,3,22,1,Grammarly,Paraphrasing,9.0,0.83,21,0.13,1
S0144,College of Education,3,2.75,3.37,4.6,6.62,3.85,4.41,5.42,5.21,5,16,4,Grammarly,Research,13.7,0.8,18,0.62,1
S0145,College of Computer Studies,4,2.76,3.07,5.14,4.11,3.3,3.85,2.77,4.15,3,23,5,QuillBot,Research,5.7,0.88,17,0.31,1
S0146,College of Business,1,3.21,2.94,5.87,5.58,2.77,4.67,3.84,5.1,4,28,4,Bard,Brainstorming,15.5,0.84,19,-0.27,0
S0147,College of Arts,3,3.46,4.0,4.79,6.19,4.91,6.47,5.02,5.45,5,14,2,QuillBot,Problem-solving,9.2,0.63,19,0.54,1
S0148,College of Business,4,2.69,2.7,5.52,3.24,5.0,3.68,3.81,4.71,4,13,4,QuillBot,Research,16.0,0.85,15,0.01,1
S0149,College of Business,1,2.49,2.99,4.77,6.31,2.57,5.18,5.73,4.65,3,50,2,ChatGPT,Problem-solving,10.3,0.94,22,0.5,0
S0150,College of Computer Studies,4,3.06,3.35,3.27,3.73,5.74,6.44,4.44,4.18,6,14,2,QuillBot,Grammar,12.1,0.94,16,0.29,0
S0151,College of Business,4,3.24,3.53,7.0,4.95,3.11,6.42,2.95,4.84,3,16,2,Grammarly,Problem-solving,10.9,0.63,15,0.29,1
S0152,College of Education,4,3.46,4.0,3.39,4.2,3.01,5.33,6.61,3.7,7,17,3,ChatGPT,Computation,4.0,0.82,29,0.54,0
S0153,College of Business,3,2.66,2.68,4.62,6.57,7.0,5.66,3.3,6.41,9,21,2,QuillBot,Research,13.4,0.58,16,0.02,1
S0154,College of Engineering,1,3.4,2.84,6.21,3.04,6.05,4.42,2.22,4.82,6,22,1,ChatGPT,Paraphrasing,2.5,0.94,16,-0.56,0
S0155,College of Business,1,2.72,2.72,7.0,4.01,4.43,5.4,4.84,5.17,5,10,5,Gemini,Problem-solving,13.0,0.72,24,0.0,1
S0156,College of Business,2,2.77,3.21,3.36,4.92,5.32,5.14,2.97,4.33,4,34,2,ChatGPT,Problem-solving,12.3,0.91,22,0.44,0
S0157,College of Education,2,2.96,2.77,3.81,7.0,4.89,5.19,5.22,5.53,3,21,1,Grammarly,Brainstorming,8.6,0.58,25,-0.19,0
S0158,College of Education,3,2.42,2.34,4.96,6.61,5.68,4.44,6.1,5.8,10,23,1,Gemini,Paraphrasing,8.5,0.56,11,-0.08,1
S0159,College of Arts,1,2.81,3.29,2.74,4.61,3.47,2.07,6.96,3.83,3,18,4,Gemini,Paraphrasing,17.8,0.84,11,0.48,0
S0160,College of Computer Studies,2,2.47,2.21,3.92,5.0,3.61,4.78,4.6,4.19,7,31,5,ChatGPT,Computation,2.6,0.69,17,-0.26,0
S0161,College of Engineering,1,3.61,3.54,5.43,3.41,2.12,4.67,4.47,3.83,6,16,2,ChatGPT,Research,13.0,0.85,22,-0.07,0
S0162,College of Engineering,1,3.64,4.0,6.18,5.22,4.64,5.28,4.88,5.31,6,12,1,Gemini,Brainstorming,17.5,0.92,17,0.36,1
S0163,College of Education,2,2.96,3.09,2.77,7.0,6.27,5.68,3.81,5.29,9,20,1,Bard,Brainstorming,8.9,0.96,18,0.13,1
S0164,College of Computer Studies,1,3.05,3.17,4.34,2.85,4.5,4.24,2.29,4.11,3,24,1,Grammarly,Brainstorming,15.3,0.68,19,0.12,0
S0165,College of Business,4,2.67,2.5,3.01,7.0,5.93,6.92,3.35,5.3,4,9,1,QuillBot,Brainstorming,16.3,0.57,15,-0.17,0
S0166,College of Engineering,1,3.18,3.54,3.84,4.25,4.2,6.15,3.45,4.24,9,29,5,Grammarly,Problem-solving,15.2,0.73,21,0.36,0
S0167,College of Computer Studies,2,2.73,2.68,2.01,6.74,5.19,4.5,3.14,4.45,10,15,5,QuillBot,Research,7.0,0.64,15,-0.05,1
S0168,College of Arts,4,3.22,3.66,5.12,3.56,4.39,5.36,4.71,3.94,6,20,2,Gemini,Research,12.4,0.78,15,0.44,0
S0169,College of Education,1,3.34,3.85,6.11,5.63,3.72,4.8,6.69,5.15,7,32,5,Bard,Paraphrasing,12.5,0.65,12,0.51,0
S0170,College of Business,2,3.07,3.58,2.56,5.99,5.5,4.27,3.58,4.58,3,8,4,ChatGPT,Computation,6.0,0.85,19,0.51,0
S0171,College of Computer Studies,2,3.2,3.59,3.82,3.31,6.58,3.34,4.39,4.49,6,38,5,ChatGPT,Grammar,9.5,0.57,12,0.39,0
S0172,College of Education,3,3.07,3.36,3.11,4.53,1.37,5.18,6.27,2.79,4,20,2,Gemini,Problem-solving,9.2,0.56,18,0.29,1
S0173,College of Arts,3,3.0,3.32,4.91,5.17,2.09,5.29,4.08,3.87,3,16,1,Gemini,Grammar,6.7,0.97,16,0.32,0
